id,dt_ocorrencia,uf,regiao,classificacao_da_ocorrencia
7762,2018-03-21,SP,Sudeste,Incidente
7759,2018-03-14,MG,Sudeste,Acidente
7758,2018-01-26,GO,Centro-Oeste,Acidente
7758,2018-01-26,GO,Centro-Oeste,Acidente
7757,2018-03-18,RS,Sul,Incidente Grave
5552,2009-07-07,PR,Sul,Acidente
5118,2006-10-13,ES,Sudeste,Acidente
7756,2018-03-18,PE,Nordeste,Incidente Grave
7755,2018-03-18,AL,Nordeste,Incidente Grave
7754,2018-03-17,SP,Sudeste,Incidente Grave
7754,2018-03-17,SP,Sudeste,Incidente Grave
7753,2018-03-16,SP,Sudeste,Acidente
5387,2002-08-20,Indeterminado,,Acidente
5665,2002-11-20,Indeterminado,,Acidente
7752,2018-03-16,SP,Sudeste,Incidente
7526,2017-09-20,MG,Sudeste,Incidente
7525,2017-09-21,MT,Centro-Oeste,Acidente
7524,2017-09-15,RJ,Sudeste,Ocorrência de Solo
7523,2017-09-17,SP,Sudeste,Incidente
7522,2017-09-15,RR,Norte,Acidente
7521,2017-09-11,SP,Sudeste,Incidente
7520,2017-09-11,SP,Sudeste,Incidente
7519,2017-09-07,PR,Sul,Incidente
7518,2017-09-05,PR,Sul,Incidente
7516,2017-09-02,MG,Sudeste,Acidente
7514,2017-09-11,SC,Sul,Incidente
7517,2017-08-02,PE,Nordeste,Incidente
7515,2017-09-06,MT,Centro-Oeste,Incidente Grave
7229,2017-02-07,RJ,Sudeste,Incidente
7228,2017-04-11,SP,Sudeste,Incidente
7227,2017-04-05,RJ,Sudeste,Ocorrência de Solo
7513,2017-09-08,PR,Sul,Incidente
7512,2017-09-03,SP,Sudeste,Acidente
7511,2017-09-06,MG,Sudeste,Acidente
7510,2017-09-07,MG,Sudeste,Incidente
7236,2017-05-04,MG,Sudeste,Incidente
7235,2017-04-23,RS,Sul,Acidente
7234,2017-04-20,BA,Nordeste,Incidente
7233,2017-04-14,MS,Centro-Oeste,Acidente
7232,2017-02-17,AM,Norte,Acidente
